,0
Bean-to-cup machine,2.343017806935333
Instant coffee,5.248359887535145
Coffee extract,6.091846298031865
Pod/capsule machine,8.622305529522025
Coffe brewing machine,17.713214620431113
Cold brew,19.77507029053421
French press,25.585754451733834
Espresso,47.047797563261476
Pour over,72.91471415182755
